あう
あそぶ
ある
あるく
いう
いく
いそぐ
うたう
うる
おくる
おもう
およぐ
おわる
かう
かえる
かえす
かかる
かく
かす
がんばる
きく
きる
けす
しる
すう
すむ
すわる
だす
たつ
つかう
つくる
とる
なくす
ならう
なる
のむ
のる
はいる
はく
はなす
はらう
はたらく
ひく
ふる
まつ
まがる
もつ
もらう
やすむ
よむ
わかる
あげる
あける
あびる
いれる
いる
おしえる
おぼえる
おりる
かえる
かける
かりる
かんがえる
きる
くれる
しめる
たべる
つける
でる
ねる
のりかえる
はじめる
みせる
みる
やめる
わすれる
する
くる
